LATITUDE,LONGITUDE
41.905609604,-87.691871807
41.94563841,-87.778814985
41.7445231,-87.585231093
41.990845723,-87.669878782
41.85880072,-87.639119948
41.908512178,-87.696368286
41.786342976,-87.704236793
41.935704338,-87.63974813
41.900562301,-87.619055431
41.772230615,-87.722742805
41.885474901,-87.662805185
41.880645654,-87.72337094
41.705001546,-87.642920937
41.926211611,-87.631228704
41.894084346,-87.762250258
41.949504846,-87.648739107
41.845487436,-87.715891936
41.800814851,-87.746789222
41.740367114,-87.607922888
41.965319684,-87.654855094
41.866815784,-87.666529263
41.952090334,-87.839210626
41.705983166,-87.710973658
41.951447167,-87.836801319
41.999764339,-87.762782861
41.881604376,-87.635451374
41.763980212,-87.644527622
41.752419779,-87.613598265
41.928711292,-87.761515797
41.958896781,-87.74595307
41.904079866,-87.682317743
41.833530616,-87.684925711
41.968435555,-87.720402539
41.777268139,-87.653078555
41.880959105,-87.711153817
41.906718619,-87.728147854
41.902451037,-87.733176075
41.96250193,-87.697517383
42.009108603,-87.673890082
41.761970165,-87.627939427
41.66350259,-87.626506112
41.766385126,-87.572571905
41.688112529,-87.55956303
41.751940503,-87.605368082
41.975626736,-87.709675612
41.734222631,-87.64371259
41.863178312,-87.715181994
41.900652406,-87.634277734
41.839570451,-87.64037683
41.997491304,-87.785420392
41.89665962,-87.637247808
41.959749125,-87.786651181
41.823052313,-87.686691718
41.870912943,-87.757129701
41.781233231,-87.733971998
41.953688597,-87.733897659
41.985197378,-87.689351796
41.976532211,-87.768621661
41.663173271,-87.636763079
41.937518478,-87.843539134
41.722732695,-87.54453083
41.889899458,-87.637127301
41.952503701,-87.84636088
41.955861766,-87.80282562
41.940279951,-87.638646319
41.749533615,-87.682979711
41.889026677,-87.758334007
41.761598809,-87.587498478
41.967860445,-87.769943023
41.929375664,-87.776052282
41.886829312,-87.624719879
41.736161509,-87.645159972
41.890968193,-87.720918071
41.90959743,-87.626312214
42.003236895,-87.660953168
41.728744693,-87.638406535
41.744493833,-87.576003561
41.837308371,-87.694371757
41.871301513,-87.680671212
41.963231526,-87.767184464
41.880774477,-87.730850558
41.756490149,-87.615226794
41.680884627,-87.559187034
41.963507989,-87.669158725
41.884582719,-87.632573698
41.797642598,-87.580876329
41.802669237,-87.581283737
41.942206576,-87.831769728
41.910519635,-87.667749686
41.78206741,-87.609060393
41.791554008,-87.674083433
41.988757924,-87.855254684
41.8765507,-87.754851089
41.974344548,-87.735454408
41.782093221,-87.661987636
41.908933751,-87.674983892
41.976532228,-87.836763733
41.917938011,-87.657301896
41.920548281,-87.740492139
41.87174062,-87.627670679
41.906243703,-87.669862281
41.751895766,-87.699568421
41.898241301,-87.626631762
41.816394534,-87.63134009
41.891278982,-87.648946753
41.883143874,-87.683666268
41.703787619,-87.681392732
41.884650172,-87.745283053
41.827513229,-87.666513961
41.91371539,-87.716513743
41.776926923,-87.605706466
41.876975949,-87.725665937
41.772299372,-87.664171101
41.796234875,-87.630404924
41.878579166,-87.617289024
41.876038171,-87.701103023
41.809651122,-87.605905286
41.896696307,-87.635544642
41.66281924,-87.617864527
41.76256031,-87.608082229
41.76113981,-87.564951123
41.771646217,-87.702820434
41.767783113,-87.722339955
41.906715737,-87.727498966
41.897399576,-87.669836427
41.783391588,-87.65201561
41.944988318,-87.790108886
41.889225372,-87.632674115
41.707642151,-87.601012811
41.781633531,-87.761722397
41.899906283,-87.752188751
41.98193445,-87.748046279
41.801565616,-87.640354317
41.811825508,-87.692775339
41.786199823,-87.713268112
41.952291758,-87.664309575
41.99003489,-87.72798028
41.867538627,-87.626208481
41.658739669,-87.615098869
41.801811091,-87.63056018
42.015062386,-87.683901234
41.739935068,-87.740889063
41.86565703,-87.627529419
41.749474451,-87.712718589
41.792236263,-87.781856168
41.870346524,-87.77412878
41.904708755,-87.649103018
41.680789104,-87.669789017
41.888079426,-87.62404737
41.762591746,-87.579226491
41.941257541,-87.72762798
41.909476168,-87.749172625
41.953766077,-87.914197073
41.912503239,-87.633011933
41.774763467,-87.638943237
41.773919011,-87.664213928
41.954068125,-87.701477829
41.921767629,-87.657276049
41.771054897,-87.568423088
41.677267306,-87.559436668
41.759434324,-87.658970019
41.867295837,-87.716529811
41.701006133,-87.606116986
41.932789922,-87.631954846
41.736206782,-87.643531648
41.772098233,-87.664164618
41.859381111,-87.623820426
41.933975028,-87.688088132
